,year,total_kcal,pct_kcal_unprocessed,pct_kcal_ingredients,pct_kcal_processed,pct_kcal_ultra_processed
0,1984,2428.8,69.8,14.0,5.7,10.5
1,1989,2296.4,67.7,12.8,5.6,13.9
2,1992,2174.9,69.0,12.5,5.4,13.2
3,1994,2195.0,67.7,13.2,5.1,14.0
4,1996,2149.7,68.5,13.3,4.9,13.2
5,1998,2076.6,66.8,12.1,5.3,15.8
6,2000,2199.5,65.2,13.3,5.2,16.3
7,2002,2111.4,65.4,11.9,5.5,17.2
8,2004,1692.9,67.1,7.9,5.4,19.5
9,2006,1841.9,61.6,10.1,6.0,22.3
10,2008,1920.8,62.7,10.0,6.0,21.4
11,2010,1900.0,62.3,10.0,6.0,21.7
12,2012,1899.3,60.9,9.1,6.2,23.7
13,2014,1890.9,62.3,9.3,6.1,22.3
14,2016,1875.4,61.4,9.0,6.5,23.1
15,2025,,,,,30.0
